2022-03-07 09:30:38,891 [1] INFO  Photon.StarDust.Client.Program - Starting 5 games with 3 players
2022-03-07 09:30:39,337 [7] INFO  Photon.StarDust.Client.Program - [23444] Started game DESKTOP-N1G7OBO(23444)1 with 3 clients
2022-03-07 09:30:39,744 [7] INFO  Photon.StarDust.Client.Program - [23444] Started game DESKTOP-N1G7OBO(23444)2 with 3 clients
2022-03-07 09:30:39,900 [14] DEBUG Photon.StarDust.Client.Program - peers: 7, r-ev: 0, ur-ev: 0, r-op: 8.342743, ur-op: 0, res: 0, r-rtt: 0, ur-rtt: 0, rtt: 0, var: 0, flsh-rtt: 0, flsh-ev 0, flsh-op 0
2022-03-07 09:30:40,263 [7] INFO  Photon.StarDust.Client.Program - [23444] Started game DESKTOP-N1G7OBO(23444)3 with 3 clients
2022-03-07 09:30:40,735 [7] INFO  Photon.StarDust.Client.Program - [23444] Started game DESKTOP-N1G7OBO(23444)4 with 3 clients
2022-03-07 09:30:40,909 [41] DEBUG Photon.StarDust.Client.Program - peers: 13, r-ev: 0, ur-ev: 0, r-op: 5.949273, ur-op: 0, res: 0, r-rtt: 0, ur-rtt: 0, rtt: 0, var: 0, flsh-rtt: 0, flsh-ev 0, flsh-op 0
2022-03-07 09:30:41,304 [7] INFO  Photon.StarDust.Client.Program - [23444] Started game DESKTOP-N1G7OBO(23444)5 with 3 clients
2022-03-07 09:30:41,923 [39] DEBUG Photon.StarDust.Client.Program - peers: 15, r-ev: 0, ur-ev: 0, r-op: 1.972109, ur-op: 0, res: 0, r-rtt: 0, ur-rtt: 0, rtt: 0, var: 0, flsh-rtt: 0, flsh-ev 0, flsh-op 0
2022-03-07 09:30:42,938 [17] DEBUG Photon.StarDust.Client.Program - peers: 15, r-ev: 0, ur-ev: 0, r-op: 0, ur-op: 0, res: 0, r-rtt: 0, ur-rtt: 0, rtt: 0, var: 0, flsh-rtt: 0, flsh-ev 0, flsh-op 0
2022-03-07 09:30:43,949 [13] DEBUG Photon.StarDust.Client.Program - peers: 15, r-ev: 0, ur-ev: 0, r-op: 0, ur-op: 0, res: 0, r-rtt: 0, ur-rtt: 0, rtt: 0, var: 0, flsh-rtt: 0, flsh-ev 0, flsh-op 0
2022-03-07 09:30:44,961 [15] DEBUG Photon.StarDust.Client.Program - peers: 15, r-ev: 0, ur-ev: 0, r-op: 0, ur-op: 0, res: 0, r-rtt: 0, ur-rtt: 0, rtt: 0, var: 0, flsh-rtt: 0, flsh-ev 0, flsh-op 0
2022-03-07 09:30:45,967 [40] DEBUG Photon.StarDust.Client.Program - peers: 15, r-ev: 0, ur-ev: 0, r-op: 0, ur-op: 0, res: 0, r-rtt: 0, ur-rtt: 0, rtt: 0, var: 0, flsh-rtt: 0, flsh-ev 0, flsh-op 0
2022-03-07 09:30:46,979 [16] DEBUG Photon.StarDust.Client.Program - peers: 15, r-ev: 0, ur-ev: 0, r-op: 0, ur-op: 0, res: 0, r-rtt: 0, ur-rtt: 0, rtt: 0, var: 0, flsh-rtt: 0, flsh-ev 0, flsh-op 0
2022-03-07 09:30:47,982 [41] DEBUG Photon.StarDust.Client.Program - peers: 15, r-ev: 0, ur-ev: 0, r-op: 0, ur-op: 0, res: 0, r-rtt: 0, ur-rtt: 0, rtt: 0, var: 0, flsh-rtt: 0, flsh-ev 0, flsh-op 0
2022-03-07 09:30:48,991 [40] DEBUG Photon.StarDust.Client.Program - peers: 15, r-ev: 0, ur-ev: 0, r-op: 0, ur-op: 0, res: 0, r-rtt: 0, ur-rtt: 0, rtt: 0, var: 0, flsh-rtt: 0, flsh-ev 0, flsh-op 0
2022-03-07 09:30:50,000 [17] DEBUG Photon.StarDust.Client.Program - peers: 15, r-ev: 0, ur-ev: 0, r-op: 0, ur-op: 0, res: 0, r-rtt: 0, ur-rtt: 0, rtt: 0, var: 0, flsh-rtt: 0, flsh-ev 0, flsh-op 0
2022-03-07 09:30:51,006 [37] DEBUG Photon.StarDust.Client.Program - peers: 15, r-ev: 0, ur-ev: 0, r-op: 0, ur-op: 0, res: 0, r-rtt: 0, ur-rtt: 0, rtt: 0, var: 0, flsh-rtt: 0, flsh-ev 0, flsh-op 0
2022-03-07 09:30:52,013 [36] DEBUG Photon.StarDust.Client.Program - peers: 15, r-ev: 0, ur-ev: 0, r-op: 0, ur-op: 0, res: 0, r-rtt: 0, ur-rtt: 0, rtt: 0, var: 0, flsh-rtt: 0, flsh-ev 0, flsh-op 0
2022-03-07 09:30:53,026 [38] DEBUG Photon.StarDust.Client.Program - peers: 15, r-ev: 0, ur-ev: 0, r-op: 0, ur-op: 0, res: 0, r-rtt: 0, ur-rtt: 0, rtt: 0, var: 0, flsh-rtt: 0, flsh-ev 0, flsh-op 0
2022-03-07 09:30:54,035 [16] DEBUG Photon.StarDust.Client.Program - peers: 15, r-ev: 0, ur-ev: 0, r-op: 0, ur-op: 0, res: 0, r-rtt: 0, ur-rtt: 0, rtt: 0, var: 0, flsh-rtt: 0, flsh-ev 0, flsh-op 0
2022-03-07 09:30:55,045 [40] DEBUG Photon.StarDust.Client.Program - peers: 15, r-ev: 0, ur-ev: 0, r-op: 0, ur-op: 0, res: 0, r-rtt: 0, ur-rtt: 0, rtt: 0, var: 0, flsh-rtt: 0, flsh-ev 0, flsh-op 0
2022-03-07 09:30:56,054 [42] DEBUG Photon.StarDust.Client.Program - peers: 15, r-ev: 0, ur-ev: 0, r-op: 0, ur-op: 0, res: 0, r-rtt: 0, ur-rtt: 0, rtt: 0, var: 0, flsh-rtt: 0, flsh-ev 0, flsh-op 0
2022-03-07 09:30:57,066 [38] DEBUG Photon.StarDust.Client.Program - peers: 15, r-ev: 0, ur-ev: 0, r-op: 0, ur-op: 0, res: 0, r-rtt: 0, ur-rtt: 0, rtt: 0, var: 0, flsh-rtt: 0, flsh-ev 0, flsh-op 0
2022-03-07 09:30:58,071 [32] DEBUG Photon.StarDust.Client.Program - peers: 15, r-ev: 0, ur-ev: 0, r-op: 0, ur-op: 0, res: 0, r-rtt: 0, ur-rtt: 0, rtt: 0, var: 0, flsh-rtt: 0, flsh-ev 0, flsh-op 0
2022-03-07 09:30:59,078 [32] DEBUG Photon.StarDust.Client.Program - peers: 15, r-ev: 0, ur-ev: 0, r-op: 0, ur-op: 0, res: 0, r-rtt: 0, ur-rtt: 0, rtt: 0, var: 0, flsh-rtt: 0, flsh-ev 0, flsh-op 0
2022-03-07 09:31:00,084 [13] DEBUG Photon.StarDust.Client.Program - peers: 15, r-ev: 0, ur-ev: 0, r-op: 0, ur-op: 0, res: 0, r-rtt: 0, ur-rtt: 0, rtt: 0, var: 0, flsh-rtt: 0, flsh-ev 0, flsh-op 0
2022-03-07 09:31:01,089 [38] DEBUG Photon.StarDust.Client.Program - peers: 15, r-ev: 0, ur-ev: 0, r-op: 0, ur-op: 0, res: 0, r-rtt: 0, ur-rtt: 0, rtt: 0, var: 0, flsh-rtt: 0, flsh-ev 0, flsh-op 0
2022-03-07 09:31:02,099 [39] DEBUG Photon.StarDust.Client.Program - peers: 15, r-ev: 0, ur-ev: 0, r-op: 0, ur-op: 0, res: 0, r-rtt: 0, ur-rtt: 0, rtt: 0, var: 0, flsh-rtt: 0, flsh-ev 0, flsh-op 0
2022-03-07 09:31:03,110 [41] DEBUG Photon.StarDust.Client.Program - peers: 15, r-ev: 0, ur-ev: 0, r-op: 0, ur-op: 0, res: 0, r-rtt: 0, ur-rtt: 0, rtt: 0, var: 0, flsh-rtt: 0, flsh-ev 0, flsh-op 0
2022-03-07 09:31:04,120 [36] DEBUG Photon.StarDust.Client.Program - peers: 15, r-ev: 0, ur-ev: 0, r-op: 0, ur-op: 0, res: 0, r-rtt: 0, ur-rtt: 0, rtt: 0, var: 0, flsh-rtt: 0, flsh-ev 0, flsh-op 0
2022-03-07 09:31:05,125 [16] DEBUG Photon.StarDust.Client.Program - peers: 15, r-ev: 0, ur-ev: 0, r-op: 0, ur-op: 0, res: 0, r-rtt: 0, ur-rtt: 0, rtt: 0, var: 0, flsh-rtt: 0, flsh-ev 0, flsh-op 0
2022-03-07 09:31:06,135 [16] DEBUG Photon.StarDust.Client.Program - peers: 15, r-ev: 0, ur-ev: 0, r-op: 0, ur-op: 0, res: 0, r-rtt: 0, ur-rtt: 0, rtt: 0, var: 0, flsh-rtt: 0, flsh-ev 0, flsh-op 0
2022-03-07 09:31:07,145 [40] DEBUG Photon.StarDust.Client.Program - peers: 15, r-ev: 0, ur-ev: 0, r-op: 0, ur-op: 0, res: 0, r-rtt: 0, ur-rtt: 0, rtt: 0, var: 0, flsh-rtt: 0, flsh-ev 0, flsh-op 0
2022-03-07 09:31:08,149 [13] DEBUG Photon.StarDust.Client.Program - peers: 15, r-ev: 0, ur-ev: 0, r-op: 0, ur-op: 0, res: 0, r-rtt: 0, ur-rtt: 0, rtt: 0, var: 0, flsh-rtt: 0, flsh-ev 0, flsh-op 0
2022-03-07 09:31:09,153 [40] DEBUG Photon.StarDust.Client.Program - peers: 15, r-ev: 0, ur-ev: 0, r-op: 0, ur-op: 0, res: 0, r-rtt: 0, ur-rtt: 0, rtt: 0, var: 0, flsh-rtt: 0, flsh-ev 0, flsh-op 0
2022-03-07 09:31:10,160 [39] DEBUG Photon.StarDust.Client.Program - peers: 15, r-ev: 0, ur-ev: 0, r-op: 0, ur-op: 0, res: 0, r-rtt: 0, ur-rtt: 0, rtt: 0, var: 0, flsh-rtt: 0, flsh-ev 0, flsh-op 0
2022-03-07 09:31:11,167 [35] DEBUG Photon.StarDust.Client.Program - peers: 15, r-ev: 0, ur-ev: 0, r-op: 0, ur-op: 0, res: 0, r-rtt: 0, ur-rtt: 0, rtt: 0, var: 0, flsh-rtt: 0, flsh-ev 0, flsh-op 0
2022-03-07 09:31:12,173 [16] DEBUG Photon.StarDust.Client.Program - peers: 15, r-ev: 0, ur-ev: 0, r-op: 0, ur-op: 0, res: 0, r-rtt: 0, ur-rtt: 0, rtt: 0, var: 0, flsh-rtt: 0, flsh-ev 0, flsh-op 0
2022-03-07 09:31:13,183 [41] DEBUG Photon.StarDust.Client.Program - peers: 15, r-ev: 0, ur-ev: 0, r-op: 0, ur-op: 0, res: 0, r-rtt: 0, ur-rtt: 0, rtt: 0, var: 0, flsh-rtt: 0, flsh-ev 0, flsh-op 0
2022-03-07 09:31:14,188 [5] DEBUG Photon.StarDust.Client.Program - peers: 15, r-ev: 0, ur-ev: 0, r-op: 0, ur-op: 0, res: 0, r-rtt: 0, ur-rtt: 0, rtt: 0, var: 0, flsh-rtt: 0, flsh-ev 0, flsh-op 0
2022-03-07 09:31:15,197 [41] DEBUG Photon.StarDust.Client.Program - peers: 15, r-ev: 0, ur-ev: 0, r-op: 0, ur-op: 0, res: 0, r-rtt: 0, ur-rtt: 0, rtt: 0, var: 0, flsh-rtt: 0, flsh-ev 0, flsh-op 0
2022-03-07 09:31:16,205 [36] DEBUG Photon.StarDust.Client.Program - peers: 15, r-ev: 0, ur-ev: 0, r-op: 0, ur-op: 0, res: 0, r-rtt: 0, ur-rtt: 0, rtt: 0, var: 0, flsh-rtt: 0, flsh-ev 0, flsh-op 0
2022-03-07 09:31:17,209 [16] DEBUG Photon.StarDust.Client.Program - peers: 15, r-ev: 0, ur-ev: 0, r-op: 0, ur-op: 0, res: 0, r-rtt: 0, ur-rtt: 0, rtt: 0, var: 0, flsh-rtt: 0, flsh-ev 0, flsh-op 0
